id,date,type,item,source_article,source_sentence,meaning,usage,writing_value,tags,review_note,appear_count,last_seen
20260424-023,2026-04-24,单词,gender,bbdc_screenshot_import_2026-04-24.md,"controlling for gender, race and parental income",性别,"controlling for gender, race and parental income；常作为研究中的控制变量。",不建议,仅阅读识别|教育主题|社会主题,常作为研究中的控制变量。,1,2026-04-24
20260424-024,2026-04-24,单词,transcript,bbdc_screenshot_import_2026-04-24.md,scores and transcripts of students,成绩单；学业记录,scores and transcripts of students；学校语境中不是“文字稿”，而是“成绩单 / 学业档案”。,一般,阅读高频|教育主题,学校语境中不是“文字稿”，而是“成绩单 / 学业档案”。,1,2026-04-24
20260424-025,2026-04-24,单词,score,bbdc_screenshot_import_2026-04-24.md,scores and transcripts,分数；成绩,scores and transcripts；基础教育词，注意可作名词复数 `scores`。,一般,阅读高频|教育主题,基础教育词，注意可作名词复数 `scores`。,1,2026-04-24
20260424-026,2026-04-24,单词,measure,bbdc_screenshot_import_2026-04-24.md,each side is measuring something different,衡量；评估,each side is measuring something different；学术和议论文常用，表示评价标准不同。,适合,写作友好|议论文常用|教育主题,学术和议论文常用，表示评价标准不同。,1,2026-04-24
20260424-027,2026-04-24,词组,each side,bbdc_screenshot_import_2026-04-24.md,each side is measuring,双方；各自一方,each side is measuring；讨论争论双方时常用。,一般,阅读高频|固定搭配|教育主题,讨论争论双方时常用。,1,2026-04-24
20260424-028,2026-04-24,单词,arise,bbdc_screenshot_import_2026-04-24.md,The disagreement arises partly because...,产生；出现；源于,The disagreement arises partly because...；比 `happen` 更书面，常用于问题、分歧、风险产生。,适合,写作友好|议论文常用|教育主题,比 `happen` 更书面，常用于问题、分歧、风险产生。,1,2026-04-24
20260424-029,2026-04-24,单词,disagreement,bbdc_screenshot_import_2026-04-24.md,The disagreement arises partly...,分歧；意见不一致,The disagreement arises partly...；可用于引出争议背后的原因。,适合,写作友好|议论文常用|教育主题,可用于引出争议背后的原因。,1,2026-04-24
20260424-030,2026-04-24,单词,on-time,bbdc_screenshot_import_2026-04-24.md,on-time graduation,按时的；如期的,on-time graduation；常修饰 `graduation`、`delivery`、`arrival`。,一般,阅读高频|教育主题,常修饰 `graduation`、`delivery`、`arrival`。,1,2026-04-24
20260424-031,2026-04-24,单词,sample,bbdc_screenshot_import_2026-04-24.md,a national sample of students,样本；抽样对象,a national sample of students；研究语境中指被纳入调查或分析的一批对象。,一般,阅读高频|教育主题,研究语境中指被纳入调查或分析的一批对象。,1,2026-04-24
20260424-032,2026-04-24,单词,back,bbdc_screenshot_import_2026-04-24.md,evidence backs that claim,支持；证实,evidence backs that claim；这里是动词，不是“背部”。,一般,阅读高频|教育主题|熟词僻义,这里是动词，不是“背部”。,1,2026-04-24
20260424-033,2026-04-24,单词,potential,bbdc_screenshot_import_2026-04-24.md,student potential,潜力；发展可能性,student potential；教育和个人成长主题常用抽象名词。,适合,写作友好|议论文常用|教育主题,教育和个人成长主题常用抽象名词。,1,2026-04-24
20260424-034,2026-04-24,单词,predictor,bbdc_screenshot_import_2026-04-24.md,a better predictor of student potential,预测指标；判断依据,a better predictor of student potential；不是“预测的人”，而是“可用来预测结果的指标”。,适合,写作友好|议论文常用|教育主题,不是“预测的人”，而是“可用来预测结果的指标”。,1,2026-04-24
20260424-035,2026-04-24,词组,be filled with,bbdc_screenshot_import_2026-04-24.md,findings were filled with warnings,充满；满是,findings were filled with warnings；常用于抽象名词，如 warnings、risks、uncertainties。,一般,阅读高频|固定搭配,常用于抽象名词，如 warnings、risks、uncertainties。,1,2026-04-24
20260424-036,2026-04-24,词组,submit scores,bbdc_screenshot_import_2026-04-24.md,submitting scores,提交考试成绩,submitting scores；教育申请语境常用。,一般,阅读高频|固定搭配|教育主题,教育申请语境常用。,1,2026-04-24
20260424-037,2026-04-24,单词,optional,bbdc_screenshot_import_2026-04-24.md,make submitting scores optional,可选的；非强制的,make submitting scores optional；可和 `mandatory` 对比记忆。,适合,写作友好|议论文常用|教育主题,可和 `mandatory` 对比记忆。,1,2026-04-24
20260424-038,2026-04-24,句型,have yet to do,bbdc_screenshot_import_2026-04-24.md,have yet to announce their policy,尚未做某事,have yet to announce their policy；正式表达，比 `haven't done yet` 更书面。,适合,写作友好|议论文常用|长难句结构|固定搭配|教育主题,正式表达，比 `haven't done yet` 更书面。,1,2026-04-24
20260424-039,2026-04-24,单词,holdout,bbdc_screenshot_import_2026-04-24.md,remaining holdouts,仍未加入的一方；坚持不跟随者,remaining holdouts；偏报道用法，阅读识别即可。,不建议,仅阅读识别|教育主题,偏报道用法，阅读识别即可。,1,2026-04-24
20260424-040,2026-04-24,词组,most recently,bbdc_screenshot_import_2026-04-24.md,most recently Penn,最近；最近的是,most recently Penn；用于列举最新例子。,一般,阅读高频|固定搭配|教育主题,用于列举最新例子。,1,2026-04-24
20260424-041,2026-04-24,单词,belatedly,bbdc_screenshot_import_2026-04-24.md,belatedly followed MIT's lead,迟迟地；晚些时候,belatedly followed MIT's lead；常含“动作发生得较晚”的意味。,一般,阅读高频|教育主题,常含“动作发生得较晚”的意味。,1,2026-04-24
20260424-042,2026-04-24,词组,follow someone's lead,bbdc_screenshot_import_2026-04-24.md,followed MIT's lead,跟随某人的做法；效仿,followed MIT's lead；写作中可表达“仿效某方做法”。,适合,写作友好|议论文常用|固定搭配|教育主题,写作中可表达“仿效某方做法”。,1,2026-04-24
20260424-043,2026-04-24,单词,top-tier,bbdc_screenshot_import_2026-04-24.md,top-tier schools,顶级的；一流的,top-tier schools；教育、企业、机构话题都可用。,适合,写作友好|议论文常用|教育主题,教育、企业、机构话题都可用。,1,2026-04-24
20260424-044,2026-04-24,词组,make a comeback,bbdc_screenshot_import_2026-04-24.md,tests are making a comeback,重新流行；再次回归,tests are making a comeback；可用于制度、趋势、现象回潮。,一般,阅读高频|固定搭配|教育主题,可用于制度、趋势、现象回潮。,1,2026-04-24
20260424-045,2026-04-24,词组,dean of admissions,bbdc_screenshot_import_2026-04-24.md,MIT's dean of admissions,招生主任,MIT's dean of admissions；具体职务，阅读识别即可。,不建议,仅阅读识别|固定搭配|教育主题,具体职务，阅读识别即可。,1,2026-04-24
20260424-046,2026-04-24,词组,lone wolf,bbdc_screenshot_import_2026-04-24.md,we were the lone wolf,唯一单独行动者,we were the lone wolf；偏口语或比喻，写作少用。,不建议,仅阅读识别|固定搭配|教育主题,偏口语或比喻，写作少用。,1,2026-04-24
20260424-047,2026-04-24,单词,mandatory,bbdc_screenshot_import_2026-04-24.md,a mandatory test policy,强制性的；必需的,a mandatory test policy；可与 `optional` 对照，政策类写作常用。,适合,写作友好|议论文常用|教育主题,可与 `optional` 对照，政策类写作常用。,1,2026-04-24
20260424-048,2026-04-24,单词,reinstate,bbdc_screenshot_import_2026-04-24.md,reinstate a mandatory test policy,恢复；重新实施,reinstate a mandatory test policy；适合描述政策恢复、制度重启。,适合,写作友好|议论文常用|教育主题,适合描述政策恢复、制度重启。,1,2026-04-24
20260424-049,2026-04-24,词组,stick with,bbdc_screenshot_import_2026-04-24.md; 2026-06-22-2011-english-i-text-2.md,stuck with the policy; stuck with the leaders they had,坚持；继续采用；继续留用,stick with 表示坚持原有选择或继续采用；本句中 stuck with the leaders they had 指董事会继续留用原有领导层。,一般,阅读高频|固定搭配|教育主题|职场主题|错句来源,stick with = 坚持 / 继续采用 / 继续留用；注意 stuck with 是过去式。,2,2026-06-22
20260424-050,2026-04-24,单词,consistently,bbdc_screenshot_import_2026-04-24.md,consistently administer tests,持续地；一贯地,consistently administer tests；可修饰做法、政策、表现。,适合,写作友好|议论文常用|教育主题,可修饰做法、政策、表现。,1,2026-04-24
20260424-051,2026-04-24,词组,administer tests,bbdc_screenshot_import_2026-04-24.md,administer tests,组织考试；实施考试,administer tests；教育话题中的正式搭配。,适合,写作友好|议论文常用|固定搭配|教育主题,教育话题中的正式搭配。,1,2026-04-24
20260424-052,2026-04-24,句型,make A B,bbdc_screenshot_import_2026-04-24.md,made submitting scores optional,使 A 变成 B,made submitting scores optional；常用结果结构，`make + 宾语 + 补足语`。,适合,写作友好|议论文常用|长难句结构|固定搭配,常用结果结构，`make + 宾语 + 补足语`。,1,2026-04-24
20260424-053,2026-04-24,单词,prestigious,bbdc_screenshot_import_2026-04-24.md,prestigious schools,有声望的；名望高的,prestigious schools；教育、机构、奖项话题常用。,适合,写作友好|议论文常用|教育主题,教育、机构、奖项话题常用。,1,2026-04-24
20260424-054,2026-04-24,词组,exclude A from B,bbdc_screenshot_import_2026-04-24.md,exclude students from prestigious schools,把 A 排除在 B 之外,exclude students from prestigious schools；社会议题、教育公平议题常用。,适合,写作友好|议论文常用|固定搭配,社会议题、教育公平议题常用。,1,2026-04-24
20260424-055,2026-04-24,单词,devise,bbdc_screenshot_import_2026-04-24.md,weapon ever devised,设计；发明,weapon ever devised；多用于方法、计划、工具被设计出来。,一般,阅读高频,多用于方法、计划、工具被设计出来。,1,2026-04-24
20260424-056,2026-04-24,词组,seem like,bbdc_screenshot_import_2026-04-24.md,seems like another era,看起来像,seems like another era；基础表达，口语和说明文都可用。,一般,阅读高频|固定搭配,基础表达，口语和说明文都可用。,1,2026-04-24
20260424-057,2026-04-24,单词,disadvantage,bbdc_screenshot_import_2026-04-24.md,disadvantage black Americans,使处于不利地位,disadvantage black Americans；作动词时很有价值，常用于公平与制度话题。,适合,写作友好|议论文常用|教育主题|社会主题,作动词时很有价值，常用于公平与制度话题。,1,2026-04-24
20260424-058,2026-04-24,单词,favour,bbdc_screenshot_import_2026-04-24.md,tests favour the wealthy,偏向；有利于,tests favour the wealthy；英式拼写，表示制度或条件对某群体有利。,适合,写作友好|议论文常用|教育主题|社会主题,英式拼写，表示制度或条件对某群体有利。,1,2026-04-24
20260424-059,2026-04-24,词组,racial diversity,bbdc_screenshot_import_2026-04-24.md,achieve racial diversity,种族多样性,achieve racial diversity；教育、公平、多元化话题常用。,适合,写作友好|议论文常用|固定搭配|教育主题|社会主题,教育、公平、多元化话题常用。,1,2026-04-24
20260424-060,2026-04-24,单词,racial,bbdc_screenshot_import_2026-04-24.md,racial diversity,种族的,racial diversity；注意 `racial` 是形容词，不是名词。,一般,阅读高频|教育主题|社会主题,注意 `racial` 是形容词，不是名词。,1,2026-04-24
20260424-061,2026-04-24,词组,admissions test,bbdc_screenshot_import_2026-04-24.md,standardised admissions tests,入学考试,standardised admissions tests；教育制度话题常见搭配。,一般,阅读高频|固定搭配|教育主题,教育制度话题常见搭配。,1,2026-04-24
20260424-062,2026-04-24,词组,warn sb that,bbdc_screenshot_import_2026-04-24.md,warned universities that...,警告某人……,warned universities that...；可用于政策、风险、后果提示。,一般,阅读高频|固定搭配|教育主题,可用于政策、风险、后果提示。,1,2026-04-24
20260424-063,2026-04-24,词组,come in,bbdc_screenshot_import_2026-04-24.md,evidence has come in,出现；被收到,evidence has come in；这里指证据陆续出现。,一般,阅读高频|固定搭配|教育主题,这里指证据陆续出现。,1,2026-04-24
20260424-064,2026-04-24,词组,settle the argument,bbdc_screenshot_import_2026-04-24.md,evidence should settle the argument,解决争论；终结争议,evidence should settle the argument；议论文中可用于说明证据的作用。,适合,写作友好|议论文常用|固定搭配|教育主题,议论文中可用于说明证据的作用。,1,2026-04-24
20260424-065,2026-04-24,单词,progressive,bbdc_screenshot_import_2026-04-24.md,progressives should love standardised tests,进步主义者；自由派人士,progressives should love standardised tests；政治语境词，阅读识别为主。,不建议,仅阅读识别|教育主题|社会主题,政治语境词，阅读识别为主。,1,2026-04-24
20260424-066,2026-04-24,词组,pave the way for,bbdc_screenshot_import_2026-04-24.md,pave the way for further development,为……铺平道路；创造条件,pave the way for further development；经济、科技、社会发展话题常用。,适合,写作友好|议论文常用|固定搭配,经济、科技、社会发展话题常用。,1,2026-04-24
20260424-067,2026-04-24,词组,contribute to,bbdc_screenshot_import_2026-04-24.md; 2026-07-10-2011-english-i-text-4.md,contribute to economic progress; contributing to our own dissatisfactions,促进；有助于；促成；导致,contribute to 后接结果；结果可以是积极的 progress 也可以是消极的 dissatisfaction。,适合,写作友好|议论文常用|固定搭配|熟词语境|Text4-S14,不要把 contribute to 固定理解成积极的“贡献”；先看后面的结果是正面还是负面。,2,2026-08-06
20260424-068,2026-04-24,单词,intense,bbdc_screenshot_import_2026-04-24.md; 2026-07-10-2011-english-i-text-4.md,intense competition; intense gratification and delight,激烈的；强烈的,intense 表程度强；修饰 gratification and delight 时译为“强烈的”而不是“紧张的”或“感兴趣的”。,适合,写作友好|议论文常用|程度修饰|复发错误|Text4-S03,结合被修饰对象判断具体译法；intense feelings 通常是强烈的感受。,2,2026-08-06
20260424-069,2026-04-24,单词,suicidal,bbdc_screenshot_import_2026-04-24.md,suicidal actions,自毁性的；导致自我毁灭的,suicidal actions；语气很重，阅读识别即可，写作慎用。,不建议,仅阅读识别|经济主题,语气很重，阅读识别即可，写作慎用。,1,2026-04-24
20260424-070,2026-04-24,词组,take over,bbdc_screenshot_import_2026-04-24.md,had been taken over by foreign enterprises,接管；收购；控制,had been taken over by foreign enterprises；企业和产业语境常用。,一般,阅读高频|固定搭配|经济主题,企业和产业语境常用。,1,2026-04-24
20260424-071,2026-04-24,单词,withdraw,bbdc_screenshot_import_2026-04-24.md,had withdrawn to its domestic market,退出；撤退；撤回,had withdrawn to its domestic market；可用于企业、国家、政策退出某领域。,一般,阅读高频|经济主题,可用于企业、国家、政策退出某领域。,1,2026-04-24
20260424-072,2026-04-24,单词,manifest,bbdc_screenshot_import_2026-04-24.md,原图未显示完整例句,表现；显示；表明,原图未显示完整例句；书面动词，但本截图缺少完整语境。,一般,阅读高频,书面动词，但本截图缺少完整语境。,1,2026-04-24
20260424-073,2026-04-24,单词,impetus,bbdc_screenshot_import_2026-04-24.md,given an impetus to its economy,推动力；促进因素,given an impetus to its economy；正式抽象名词，常搭配 `give an impetus to`。,适合,写作友好|议论文常用|经济主题,正式抽象名词，常搭配 `give an impetus to`。,1,2026-04-24
20260424-074,2026-04-24,单词,towards,bbdc_screenshot_import_2026-04-24.md,efforts towards this goal,朝着；为了,efforts towards this goal；表示目标方向，可用于 `efforts towards...`。,一般,阅读高频,表示目标方向，可用于 `efforts towards...`。,1,2026-04-24
20260424-075,2026-04-24,单词,painstaking,bbdc_screenshot_import_2026-04-24.md,painstaking efforts,艰苦的；费力的；非常仔细的,painstaking efforts；常修饰 efforts、work、research。,适合,写作友好|议论文常用,常修饰 efforts、work、research。,1,2026-04-24
20260424-076,2026-04-24,单词,quick-witted,bbdc_screenshot_import_2026-04-24.md,learnt to be more quick-witted,机敏的；反应快的,learnt to be more quick-witted；偏描述性，考研写作中不常用。,不建议,仅阅读识别,偏描述性，考研写作中不常用。,1,2026-04-24
20260424-077,2026-04-24,词组,go on a diet,bbdc_screenshot_import_2026-04-24.md,American industry has gone on a diet,削减规模；精简结构,American industry has gone on a diet；比喻用法，阅读中要识别。,一般,阅读高频|固定搭配|经济主题|熟词僻义,比喻用法，阅读中要识别。,1,2026-04-24
20260424-078,2026-04-24,词组,blind pride,bbdc_screenshot_import_2026-04-24.md,Self-doubt has yielded to blind pride,盲目的自豪；盲目自信,Self-doubt has yielded to blind pride；抽象评价表达，可用于批判性语境。,一般,阅读高频|固定搭配,抽象评价表达，可用于批判性语境。,1,2026-04-24
20260424-079,2026-04-24,词组,yield to,bbdc_screenshot_import_2026-04-24.md,self-doubt yielded to blind pride,让位于；屈服于；被……取代,self-doubt yielded to blind pride；正式表达，表示一种状态被另一种状态替代。,适合,写作友好|议论文常用|固定搭配,正式表达，表示一种状态被另一种状态替代。,1,2026-04-24
20260424-080,2026-04-24,单词,devalue,bbdc_screenshot_import_2026-04-24.md,a devalued dollar,贬值,a devalued dollar；经济语境词，常用于 currency。,一般,阅读高频|经济主题,经济语境词，常用于 currency。,1,2026-04-24
20260424-081,2026-04-24,词组,attribute A to B,bbdc_screenshot_import_2026-04-24.md,attribute this to obvious causes,把 A 归因于 B,attribute this to obvious causes；议论文解释原因的核心搭配。,适合,写作友好|议论文常用|固定搭配,议论文解释原因的核心搭配。,1,2026-04-24
20260424-082,2026-04-24,单词,struggle,bbdc_screenshot_import_2026-04-24.md,Japan has been struggling,挣扎；困难发展,Japan has been struggling；可描述国家、行业、个人处境困难。,一般,阅读高频|经济主题,可描述国家、行业、个人处境困难。,1,2026-04-24
20260424-083,2026-04-24,词组,look back on,bbdc_screenshot_import_2026-04-24.md,look back on five years of growth,回顾；回想,look back on five years of growth；常用于总结过去经历。,一般,阅读高频|固定搭配|经济主题,常用于总结过去经历。,1,2026-04-24
20260424-084,2026-04-24,单词,sensational,bbdc_screenshot_import_2026-04-24.md,sensational findings,轰动的；耸人听闻的,sensational findings；带有夸张或吸引眼球的意味。,一般,阅读高频|经济主题,带有夸张或吸引眼球的意味。,1,2026-04-24
20260424-085,2026-04-24,词组,inquiry into,bbdc_screenshot_import_2026-04-24.md,inquiry into the causes of industrial decline,对……的调查；研究,inquiry into the causes of industrial decline；正式表达，常接原因、事件、问题。,一般,阅读高频|固定搭配|经济主题,正式表达，常接原因、事件、问题。,1,2026-04-24
20260424-086,2026-04-24,单词,bring,bbdc_screenshot_import_2026-04-24.md,brought one inquiry after another,带来；引发；出现,brought one inquiry after another；这里不是“拿来”，而是“引发一系列事情”。,一般,阅读高频|经济主题,这里不是“拿来”，而是“引发一系列事情”。,1,2026-04-24
20260424-087,2026-04-24,词组,one after another,bbdc_screenshot_import_2026-04-24.md,one inquiry after another,一个接一个；接连不断,one inquiry after another；强调连续出现。,一般,阅读高频|固定搭配|经济主题,强调连续出现。,1,2026-04-24
20260424-088,2026-04-24,单词,therefore,bbdc_screenshot_import_2026-04-24.md,incomes would therefore begin to fall,因此；所以,incomes would therefore begin to fall；因果连接词，正式写作可用。,适合,写作友好|议论文常用|经济主题,因果连接词，正式写作可用。,1,2026-04-24
20260424-089,2026-04-24,单词,shortly,bbdc_screenshot_import_2026-04-24.md,shortly begin to fall,很快；不久之后,shortly begin to fall；在文中表示“不久将会”。,一般,阅读高频|经济主题,在文中表示“不久将会”。,1,2026-04-24
20260424-090,2026-04-24,单词,prosperity,bbdc_screenshot_import_2026-04-24.md,stopped taking prosperity for granted,繁荣；富裕,stopped taking prosperity for granted；经济、社会发展主题常用。,适合,写作友好|议论文常用|经济主题,经济、社会发展主题常用。,1,2026-04-24
20260424-091,2026-04-24,词组,take sth for granted,bbdc_screenshot_import_2026-04-24.md,taking prosperity for granted,把……视为理所当然,taking prosperity for granted；写作常用，可表达忽视已有优势。,适合,写作友好|议论文常用|固定搭配|经济主题,写作常用，可表达忽视已有优势。,1,2026-04-24
20260424-092,2026-04-24,词组,a crisis of confidence,bbdc_screenshot_import_2026-04-24.md,caused a crisis of confidence,信心危机,caused a crisis of confidence；经济、社会、个人发展话题都可用。,适合,写作友好|议论文常用|固定搭配|经济主题,经济、社会、个人发展话题都可用。,1,2026-04-24
20260424-093,2026-04-24,单词,cause,bbdc_screenshot_import_2026-04-24.md,caused a crisis of confidence,导致；引发,caused a crisis of confidence；基础因果动词，可替换为 `lead to`、`result in`。,一般,阅读高频|经济主题,基础因果动词，可替换为 `lead to`、`result in`。,1,2026-04-24
20260424-094,2026-04-24,词组,at the heart of,bbdc_screenshot_import_2026-04-24.md,sat at the heart of the new computer age,处于核心,sat at the heart of the new computer age；写作中可表示某物是关键或核心。,适合,写作友好|议论文常用|固定搭配|经济主题,写作中可表示某物是关键或核心。,1,2026-04-24
20260424-095,2026-04-24,单词,semiconductor,bbdc_screenshot_import_2026-04-24.md,the making of semiconductors,半导体,the making of semiconductors；科技和产业主题词。,一般,阅读高频|经济主题|科技主题,科技和产业主题词。,1,2026-04-24
20260424-096,2026-04-24,句型,look as though,bbdc_screenshot_import_2026-04-24.md,it looked as though...,看起来好像,it looked as though...；引出表象或趋势判断。,一般,阅读高频|长难句结构|固定搭配,引出表象或趋势判断。,1,2026-04-24
20260424-097,2026-04-24,词组,for a while,bbdc_screenshot_import_2026-04-24.md,For a while it looked as though...,一段时间,For a while it looked as though...；时间状语，阅读识别为主。,一般,阅读高频|固定搭配,时间状语，阅读识别为主。,1,2026-04-24
20260424-098,2026-04-24,词组,machine tool,bbdc_screenshot_import_2026-04-24.md,America's machine-tool industry,机床；工业加工设备,America's machine-tool industry；产业主题词，理解语境即可。,一般,阅读高频|固定搭配|经济主题|科技主题,产业主题词，理解语境即可。,1,2026-04-24
20260424-099,2026-04-24,词组,sweep into,bbdc_screenshot_import_2026-04-24.md,were sweeping into the domestic market,大量涌入；席卷进入,were sweeping into the domestic market；强调速度快、数量多。,一般,阅读高频|固定搭配|经济主题,强调速度快、数量多。,1,2026-04-24
20260424-100,2026-04-24,单词,textile,bbdc_screenshot_import_2026-04-24.md,foreign-made cars and textiles,纺织品；纺织工业产品,foreign-made cars and textiles；产业主题词，原图例句底部不完整。,一般,阅读高频|经济主题|科技主题,产业主题词，原图例句底部不完整。,1,2026-04-24
