normalized	canonical_entry_id	occurrence_count	sections	verification_status
actor	SYL-VOCAB-P006-L14	1	part_1_true_exam	ocr_consensus_unreviewed
actress	SYL-VOCAB-P071-L16	1	part_2_zero_frequency	ocr_consensus_unreviewed
actual	SYL-VOCAB-P006-L15	1	part_1_true_exam	ocr_consensus_unreviewed
acute	SYL-VOCAB-P006-L16	1	part_1_true_exam	ocr_consensus_unreviewed
adapt	SYL-VOCAB-P006-L17	1	part_1_true_exam	ocr_consensus_unreviewed
add	SYL-VOCAB-P006-L18	1	part_1_true_exam	ocr_consensus_unreviewed
addict	SYL-VOCAB-P006-L19	1	part_1_true_exam	ocr_consensus_unreviewed
addition	SYL-VOCAB-P006-L20	1	part_1_true_exam	ocr_consensus_unreviewed
additional	SYL-VOCAB-P006-L21	1	part_1_true_exam	ocr_consensus_unreviewed
address	SYL-VOCAB-P006-L22	1	part_1_true_exam	ocr_consensus_unreviewed
adequate	SYL-VOCAB-P006-L23	1	part_1_true_exam	ocr_consensus_unreviewed
adhere	SYL-VOCAB-P006-L24	1	part_1_true_exam	ocr_consensus_unreviewed
adjacent	SYL-VOCAB-P071-L17	1	part_2_zero_frequency	verified_manual_visual
adjective	SYL-VOCAB-P006-L25	1	part_1_true_exam	ocr_consensus_unreviewed
adjoin	SYL-VOCAB-P006-L26	1	part_1_true_exam	ocr_consensus_unreviewed
adjust	SYL-VOCAB-P006-L27	1	part_1_true_exam	ocr_consensus_unreviewed
administer	SYL-VOCAB-P006-L28	1	part_1_true_exam	ocr_consensus_unreviewed
administration	SYL-VOCAB-P006-L29	1	part_1_true_exam	ocr_consensus_unreviewed
admire	SYL-VOCAB-P006-L30	1	part_1_true_exam	ocr_consensus_unreviewed
admission	SYL-VOCAB-P006-L31	1	part_1_true_exam	ocr_consensus_unreviewed
admit	SYL-VOCAB-P006-R01	1	part_1_true_exam	ocr_consensus_unreviewed
adolescent	SYL-VOCAB-P006-R02	1	part_1_true_exam	ocr_consensus_unreviewed
adopt	SYL-VOCAB-P006-R03	1	part_1_true_exam	ocr_consensus_unreviewed
adore	SYL-VOCAB-P006-R04	1	part_1_true_exam	ocr_consensus_unreviewed
adult	SYL-VOCAB-P006-R05	1	part_1_true_exam	ocr_consensus_unreviewed
advance	SYL-VOCAB-P006-R06	1	part_1_true_exam	ocr_consensus_unreviewed
advanced	SYL-VOCAB-P006-R07	1	part_1_true_exam	ocr_consensus_unreviewed
advantage	SYL-VOCAB-P006-R08	1	part_1_true_exam	ocr_consensus_unreviewed
advent	SYL-VOCAB-P006-R09	1	part_1_true_exam	ocr_consensus_unreviewed
adventure	SYL-VOCAB-P006-R10	1	part_1_true_exam	ocr_consensus_unreviewed
adverb	SYL-VOCAB-P071-L18	1	part_2_zero_frequency	ocr_consensus_unreviewed
adversarial	SYL-VOCAB-P088-L07	1	part_3_beyond_syllabus	verified_manual_visual
adverse	SYL-VOCAB-P006-R13	1	part_1_true_exam	ocr_consensus_unreviewed
advertise	SYL-VOCAB-P006-R11	1	part_1_true_exam	ocr_consensus_unreviewed
advice	SYL-VOCAB-P006-R12	1	part_1_true_exam	ocr_consensus_unreviewed
advisable	SYL-VOCAB-P006-R14	1	part_1_true_exam	ocr_consensus_unreviewed
advise	SYL-VOCAB-P006-R15	1	part_1_true_exam	ocr_consensus_unreviewed
advocate	SYL-VOCAB-P006-R16	1	part_1_true_exam	ocr_consensus_unreviewed
aerial	SYL-VOCAB-P006-R17	1	part_1_true_exam	ocr_consensus_unreviewed
aeroplane	SYL-VOCAB-P006-R18	1	part_1_true_exam	ocr_consensus_unreviewed
aesthetic	SYL-VOCAB-P071-L19	1	part_2_zero_frequency	ocr_consensus_unreviewed
affair	SYL-VOCAB-P006-R19	1	part_1_true_exam	ocr_consensus_unreviewed
affect	SYL-VOCAB-P006-R20	1	part_1_true_exam	ocr_consensus_unreviewed
affection	SYL-VOCAB-P071-L20	1	part_2_zero_frequency	ocr_consensus_unreviewed
affiliate	SYL-VOCAB-P006-R21	1	part_1_true_exam	ocr_consensus_unreviewed
affirm	SYL-VOCAB-P006-R22	1	part_1_true_exam	ocr_consensus_unreviewed
affluent	SYL-VOCAB-P071-L21	1	part_2_zero_frequency	ocr_consensus_unreviewed
afford	SYL-VOCAB-P006-R23	1	part_1_true_exam	ocr_consensus_unreviewed
afraid	SYL-VOCAB-P006-R24	1	part_1_true_exam	ocr_consensus_unreviewed
after	SYL-VOCAB-P006-R25	1	part_1_true_exam	ocr_consensus_unreviewed
afternoon	SYL-VOCAB-P006-R26	1	part_1_true_exam	ocr_consensus_unreviewed
afterward	SYL-VOCAB-P006-R27	1	part_1_true_exam	ocr_consensus_unreviewed
again	SYL-VOCAB-P006-R28	1	part_1_true_exam	ocr_consensus_unreviewed
against	SYL-VOCAB-P006-R29	1	part_1_true_exam	ocr_consensus_unreviewed
age	SYL-VOCAB-P006-R30	1	part_1_true_exam	ocr_consensus_unreviewed
agency	SYL-VOCAB-P006-R31	1	part_1_true_exam	ocr_consensus_unreviewed
agenda	SYL-VOCAB-P006-R32	1	part_1_true_exam	ocr_consensus_unreviewed
agent	SYL-VOCAB-P006-R33	1	part_1_true_exam	ocr_consensus_unreviewed
aggravate	SYL-VOCAB-P006-R34	1	part_1_true_exam	ocr_consensus_unreviewed
aggregation	SYL-VOCAB-P088-L08	1	part_3_beyond_syllabus	ocr_consensus_unreviewed
aggressive	SYL-VOCAB-P007-L01	1	part_1_true_exam	ocr_consensus_unreviewed
agitate	SYL-VOCAB-P071-L22	1	part_2_zero_frequency	ocr_consensus_unreviewed
ago	SYL-VOCAB-P007-L02	1	part_1_true_exam	ocr_consensus_unreviewed
agony	SYL-VOCAB-P007-L03	1	part_1_true_exam	ocr_consensus_unreviewed
agree	SYL-VOCAB-P007-L04	1	part_1_true_exam	ocr_consensus_unreviewed
agreeable	SYL-VOCAB-P007-L05	1	part_1_true_exam	ocr_consensus_unreviewed
agreement	SYL-VOCAB-P007-L06	1	part_1_true_exam	ocr_consensus_unreviewed
agriculture	SYL-VOCAB-P007-L07	1	part_1_true_exam	ocr_consensus_unreviewed
ahead	SYL-VOCAB-P007-L08	1	part_1_true_exam	ocr_consensus_unreviewed
aid	SYL-VOCAB-P007-L09	1	part_1_true_exam	ocr_consensus_unreviewed
aim	SYL-VOCAB-P007-L10	1	part_1_true_exam	ocr_consensus_unreviewed
air	SYL-VOCAB-P007-L11	1	part_1_true_exam	ocr_consensus_unreviewed
air-conditioning	SYL-VOCAB-P007-L12	1	part_1_true_exam	ocr_consensus_unreviewed
aircraft	SYL-VOCAB-P007-L13	1	part_1_true_exam	ocr_consensus_unreviewed
airline	SYL-VOCAB-P007-L14	1	part_1_true_exam	ocr_consensus_unreviewed
airport	SYL-VOCAB-P007-L15	1	part_1_true_exam	ocr_consensus_unreviewed
aisle	SYL-VOCAB-P071-L23	1	part_2_zero_frequency	ocr_consensus_unreviewed
akin to	SYL-VOCAB-P088-L09	1	part_3_beyond_syllabus	ocr_consensus_unreviewed
alarm	SYL-VOCAB-P007-L16	1	part_1_true_exam	ocr_consensus_unreviewed
album	SYL-VOCAB-P071-L24	1	part_2_zero_frequency	ocr_consensus_unreviewed
alcohol	SYL-VOCAB-P007-L17	1	part_1_true_exam	ocr_consensus_unreviewed
alert	SYL-VOCAB-P007-L18	1	part_1_true_exam	ocr_consensus_unreviewed
algorithm	SYL-VOCAB-P088-L10	1	part_3_beyond_syllabus	verified_manual_visual
alien	SYL-VOCAB-P007-L19	1	part_1_true_exam	ocr_consensus_unreviewed
alienate	SYL-VOCAB-P071-L25	1	part_2_zero_frequency	ocr_consensus_unreviewed
align	SYL-VOCAB-P088-L11	1	part_3_beyond_syllabus	ocr_consensus_unreviewed
alike	SYL-VOCAB-P007-L20	1	part_1_true_exam	ocr_consensus_unreviewed
alive	SYL-VOCAB-P007-L21	1	part_1_true_exam	ocr_consensus_unreviewed
all	SYL-VOCAB-P007-L22	1	part_1_true_exam	ocr_consensus_unreviewed
allege	SYL-VOCAB-P007-L23	1	part_1_true_exam	ocr_consensus_unreviewed
allegiance	SYL-VOCAB-P071-L26	1	part_2_zero_frequency	ocr_consensus_unreviewed
alleviate	SYL-VOCAB-P007-L24	1	part_1_true_exam	ocr_consensus_unreviewed
alliance	SYL-VOCAB-P007-L25	1	part_1_true_exam	ocr_consensus_unreviewed
allocate	SYL-VOCAB-P007-L26	1	part_1_true_exam	ocr_consensus_unreviewed
allow	SYL-VOCAB-P007-L27	1	part_1_true_exam	ocr_consensus_unreviewed
allowance	SYL-VOCAB-P007-L28	1	part_1_true_exam	ocr_consensus_unreviewed
alloy	SYL-VOCAB-P071-L27	1	part_2_zero_frequency	ocr_consensus_unreviewed
ally	SYL-VOCAB-P007-L29	1	part_1_true_exam	ocr_consensus_unreviewed
almost	SYL-VOCAB-P007-L30	1	part_1_true_exam	ocr_consensus_unreviewed
alone	SYL-VOCAB-P007-L31	1	part_1_true_exam	ocr_consensus_unreviewed
along	SYL-VOCAB-P007-L32	1	part_1_true_exam	ocr_consensus_unreviewed
alongside	SYL-VOCAB-P007-L33	1	part_1_true_exam	ocr_consensus_unreviewed
aloud	SYL-VOCAB-P071-L28	1	part_2_zero_frequency	ocr_consensus_unreviewed
alphabet	SYL-VOCAB-P007-L34	1	part_1_true_exam	ocr_consensus_unreviewed
already	SYL-VOCAB-P007-L35	1	part_1_true_exam	ocr_consensus_unreviewed
also	SYL-VOCAB-P007-R01	1	part_1_true_exam	ocr_consensus_unreviewed
alter	SYL-VOCAB-P007-R02	1	part_1_true_exam	ocr_consensus_unreviewed
alternate	SYL-VOCAB-P007-R03	1	part_1_true_exam	ocr_consensus_unreviewed
alternative	SYL-VOCAB-P007-R04	1	part_1_true_exam	ocr_consensus_unreviewed
although	SYL-VOCAB-P007-R05	1	part_1_true_exam	ocr_consensus_unreviewed
altitude	SYL-VOCAB-P007-R06	1	part_1_true_exam	ocr_consensus_unreviewed
altogether	SYL-VOCAB-P007-R07	1	part_1_true_exam	ocr_consensus_unreviewed
aluminum	SYL-VOCAB-P071-L29	1	part_2_zero_frequency	ocr_consensus_unreviewed
always	SYL-VOCAB-P007-R08	1	part_1_true_exam	ocr_consensus_unreviewed
amateur	SYL-VOCAB-P007-R09	1	part_1_true_exam	ocr_consensus_unreviewed
amaze	SYL-VOCAB-P007-R10	1	part_1_true_exam	ocr_consensus_unreviewed
ambassador	SYL-VOCAB-P071-L30	1	part_2_zero_frequency	ocr_consensus_unreviewed
ambiguous	SYL-VOCAB-P007-R11	1	part_1_true_exam	ocr_consensus_unreviewed
ambition	SYL-VOCAB-P007-R12	1	part_1_true_exam	ocr_consensus_unreviewed
ambitious	SYL-VOCAB-P007-R13	1	part_1_true_exam	ocr_consensus_unreviewed
ambulance	SYL-VOCAB-P007-R14	1	part_1_true_exam	ocr_consensus_unreviewed
amend	SYL-VOCAB-P071-L31	1	part_2_zero_frequency	ocr_consensus_unreviewed
amiable	SYL-VOCAB-P007-R15	1	part_1_true_exam	ocr_consensus_unreviewed
amid	SYL-VOCAB-P007-R16	1	part_1_true_exam	ocr_consensus_unreviewed
among	SYL-VOCAB-P007-R17	1	part_1_true_exam	ocr_consensus_unreviewed
amount	SYL-VOCAB-P007-R18	1	part_1_true_exam	ocr_consensus_unreviewed
ample	SYL-VOCAB-P007-R19	1	part_1_true_exam	ocr_consensus_unreviewed
amplifier	SYL-VOCAB-P071-L32	1	part_2_zero_frequency	ocr_consensus_unreviewed
amplify	SYL-VOCAB-P071-L33	1	part_2_zero_frequency	ocr_consensus_unreviewed
amuse	SYL-VOCAB-P007-R20	1	part_1_true_exam	ocr_consensus_unreviewed
anaemia	SYL-VOCAB-P088-L12	1	part_3_beyond_syllabus	ocr_consensus_unreviewed
analogue	SYL-VOCAB-P007-R22	1	part_1_true_exam	ocr_consensus_unreviewed
analogy	SYL-VOCAB-P007-R21	1	part_1_true_exam	ocr_consensus_unreviewed
analyse	SYL-VOCAB-P007-R23	1	part_1_true_exam	ocr_consensus_unreviewed
analysis	SYL-VOCAB-P007-R24	1	part_1_true_exam	ocr_consensus_unreviewed
analytic	SYL-VOCAB-P007-R25	1	part_1_true_exam	ocr_consensus_unreviewed
anatomy	SYL-VOCAB-P088-L13	1	part_3_beyond_syllabus	verified_manual_visual
ancestor	SYL-VOCAB-P007-R26	1	part_1_true_exam	ocr_consensus_unreviewed
anchor	SYL-VOCAB-P007-R27	1	part_1_true_exam	ocr_consensus_unreviewed
ancient	SYL-VOCAB-P007-R28	1	part_1_true_exam	ocr_consensus_unreviewed
and	SYL-VOCAB-P007-R29	1	part_1_true_exam	ocr_consensus_unreviewed
anecdote	SYL-VOCAB-P007-R30	1	part_1_true_exam	ocr_consensus_unreviewed
angel	SYL-VOCAB-P007-R31	1	part_1_true_exam	ocr_consensus_unreviewed
anger	SYL-VOCAB-P007-R32	1	part_1_true_exam	ocr_consensus_unreviewed
angle	SYL-VOCAB-P007-R33	1	part_1_true_exam	ocr_consensus_unreviewed
angry	SYL-VOCAB-P007-R34	1	part_1_true_exam	ocr_consensus_unreviewed
anguish	SYL-VOCAB-P071-L34	1	part_2_zero_frequency	ocr_consensus_unreviewed
animal	SYL-VOCAB-P007-R35	1	part_1_true_exam	ocr_consensus_unreviewed
ankle	SYL-VOCAB-P071-R07	1	part_2_zero_frequency	verified_manual_visual
anniversary	SYL-VOCAB-P071-R08	1	part_2_zero_frequency	ocr_consensus_unreviewed
announce	SYL-VOCAB-P007-R36	1	part_1_true_exam	ocr_consensus_unreviewed
annoy	SYL-VOCAB-P007-R37	1	part_1_true_exam	ocr_consensus_unreviewed
annual	SYL-VOCAB-P007-R38	1	part_1_true_exam	ocr_consensus_unreviewed
anonymous	SYL-VOCAB-P007-R39	1	part_1_true_exam	ocr_consensus_unreviewed
another	SYL-VOCAB-P008-L01	1	part_1_true_exam	ocr_consensus_unreviewed
answer	SYL-VOCAB-P008-L02	1	part_1_true_exam	ocr_consensus_unreviewed
ant	SYL-VOCAB-P008-L03	1	part_1_true_exam	ocr_consensus_unreviewed
antagonistic	SYL-VOCAB-P088-L14	1	part_3_beyond_syllabus	ocr_consensus_unreviewed
antenna	SYL-VOCAB-P071-R09	1	part_2_zero_frequency	ocr_consensus_unreviewed
anthropologist	SYL-VOCAB-P088-L15	1	part_3_beyond_syllabus	verified_manual_visual
anticipate	SYL-VOCAB-P008-L04	1	part_1_true_exam	ocr_consensus_unreviewed
antique	SYL-VOCAB-P008-L05	1	part_1_true_exam	ocr_consensus_unreviewed
anxiety	SYL-VOCAB-P008-L06	1	part_1_true_exam	ocr_consensus_unreviewed
anxious	SYL-VOCAB-P008-L07	1	part_1_true_exam	ocr_consensus_unreviewed
any	SYL-VOCAB-P008-L08	1	part_1_true_exam	ocr_consensus_unreviewed
anybody	SYL-VOCAB-P071-R10	1	part_2_zero_frequency	ocr_consensus_unreviewed
anyhow	SYL-VOCAB-P071-R11	1	part_2_zero_frequency	verified_manual_visual
anyone	SYL-VOCAB-P008-L09	1	part_1_true_exam	ocr_consensus_unreviewed
anything	SYL-VOCAB-P008-L10	1	part_1_true_exam	ocr_consensus_unreviewed
anyway	SYL-VOCAB-P008-L11	1	part_1_true_exam	ocr_consensus_unreviewed
anywhere	SYL-VOCAB-P008-L12	1	part_1_true_exam	ocr_consensus_unreviewed
apart	SYL-VOCAB-P008-L13	1	part_1_true_exam	ocr_consensus_unreviewed
apartment	SYL-VOCAB-P008-L14	1	part_1_true_exam	ocr_consensus_unreviewed
ape	SYL-VOCAB-P071-R12	1	part_2_zero_frequency	ocr_consensus_unreviewed
apologize	SYL-VOCAB-P008-L15	1	part_1_true_exam	ocr_consensus_unreviewed
apology	SYL-VOCAB-P008-L16	1	part_1_true_exam	ocr_consensus_unreviewed
appal	SYL-VOCAB-P071-R13	1	part_2_zero_frequency	ocr_consensus_unreviewed
apparatus	SYL-VOCAB-P008-L17	1	part_1_true_exam	ocr_consensus_unreviewed
apparent	SYL-VOCAB-P008-L18	1	part_1_true_exam	ocr_consensus_unreviewed
appeal	SYL-VOCAB-P008-L19	1	part_1_true_exam	ocr_consensus_unreviewed
appear	SYL-VOCAB-P008-L20	1	part_1_true_exam	ocr_consensus_unreviewed
appearance	SYL-VOCAB-P008-L21	1	part_1_true_exam	ocr_consensus_unreviewed
appendix	SYL-VOCAB-P071-R14	1	part_2_zero_frequency	ocr_consensus_unreviewed
appetite	SYL-VOCAB-P008-L22	1	part_1_true_exam	ocr_consensus_unreviewed
applaud	SYL-VOCAB-P071-R15	1	part_2_zero_frequency	ocr_consensus_unreviewed
applause	SYL-VOCAB-P071-R16	1	part_2_zero_frequency	ocr_consensus_unreviewed
apple	SYL-VOCAB-P008-L23	1	part_1_true_exam	ocr_consensus_unreviewed
appliance	SYL-VOCAB-P008-L24	1	part_1_true_exam	ocr_consensus_unreviewed
applicable	SYL-VOCAB-P008-L25	1	part_1_true_exam	ocr_consensus_unreviewed
application	SYL-VOCAB-P008-L26	1	part_1_true_exam	ocr_consensus_unreviewed
apply	SYL-VOCAB-P008-L27	1	part_1_true_exam	ocr_consensus_unreviewed
appoint	SYL-VOCAB-P008-L28	1	part_1_true_exam	ocr_consensus_unreviewed
appointment	SYL-VOCAB-P008-L29	1	part_1_true_exam	ocr_consensus_unreviewed
appraisal	SYL-VOCAB-P071-R17	1	part_2_zero_frequency	ocr_consensus_unreviewed
appreciate	SYL-VOCAB-P008-L30	1	part_1_true_exam	ocr_consensus_unreviewed
apprehension	SYL-VOCAB-P088-L16	1	part_3_beyond_syllabus	ocr_consensus_unreviewed
approach	SYL-VOCAB-P008-L31	1	part_1_true_exam	ocr_consensus_unreviewed
appropriate	SYL-VOCAB-P008-R01	1	part_1_true_exam	ocr_consensus_unreviewed
approval	SYL-VOCAB-P008-R02	1	part_1_true_exam	ocr_consensus_unreviewed
approve	SYL-VOCAB-P008-R03	1	part_1_true_exam	ocr_consensus_unreviewed
approximate	SYL-VOCAB-P008-R04	1	part_1_true_exam	ocr_consensus_unreviewed
april	SYL-VOCAB-P008-R05	1	part_1_true_exam	ocr_consensus_unreviewed
apt	SYL-VOCAB-P008-R06	1	part_1_true_exam	ocr_consensus_unreviewed
arbiter	SYL-VOCAB-P088-L17	1	part_3_beyond_syllabus	ocr_consensus_unreviewed
arbitrary	SYL-VOCAB-P008-R07	1	part_1_true_exam	ocr_consensus_unreviewed
arch	SYL-VOCAB-P071-R18	1	part_2_zero_frequency	ocr_consensus_unreviewed
architect	SYL-VOCAB-P071-R19	1	part_2_zero_frequency	verified_manual_visual
architecture	SYL-VOCAB-P008-R08	1	part_1_true_exam	ocr_consensus_unreviewed
area	SYL-VOCAB-P008-R09	1	part_1_true_exam	ocr_consensus_unreviewed
argue	SYL-VOCAB-P008-R10	1	part_1_true_exam	ocr_consensus_unreviewed
argument	SYL-VOCAB-P008-R11	1	part_1_true_exam	ocr_consensus_unreviewed
arise	SYL-VOCAB-P008-R12	1	part_1_true_exam	ocr_consensus_unreviewed
aristocratic	SYL-VOCAB-P088-L18	1	part_3_beyond_syllabus	ocr_consensus_unreviewed
arithmetic	SYL-VOCAB-P008-R13	1	part_1_true_exam	ocr_consensus_unreviewed
arm	SYL-VOCAB-P008-R14	1	part_1_true_exam	ocr_consensus_unreviewed
army	SYL-VOCAB-P008-R15	1	part_1_true_exam	ocr_consensus_unreviewed
around	SYL-VOCAB-P008-R16	1	part_1_true_exam	ocr_consensus_unreviewed
arouse	SYL-VOCAB-P008-R17	1	part_1_true_exam	ocr_consensus_unreviewed
arrange	SYL-VOCAB-P008-R18	1	part_1_true_exam	ocr_consensus_unreviewed
array	SYL-VOCAB-P008-R19	1	part_1_true_exam	ocr_consensus_unreviewed
arrest	SYL-VOCAB-P008-R20	1	part_1_true_exam	ocr_consensus_unreviewed
arrival	SYL-VOCAB-P008-R21	1	part_1_true_exam	ocr_consensus_unreviewed
arrive	SYL-VOCAB-P008-R22	1	part_1_true_exam	ocr_consensus_unreviewed
arrogant	SYL-VOCAB-P008-R23	1	part_1_true_exam	ocr_consensus_unreviewed
arrow	SYL-VOCAB-P071-R20	1	part_2_zero_frequency	ocr_consensus_unreviewed
artery	SYL-VOCAB-P071-R21	1	part_2_zero_frequency	ocr_consensus_unreviewed
arthritis	SYL-VOCAB-P088-L19	1	part_3_beyond_syllabus	ocr_consensus_unreviewed
article	SYL-VOCAB-P008-R25	1	part_1_true_exam	ocr_consensus_unreviewed
articulate	SYL-VOCAB-P008-R26	1	part_1_true_exam	ocr_consensus_unreviewed
artificial	SYL-VOCAB-P008-R27	1	part_1_true_exam	verified_manual_visual
artist	SYL-VOCAB-P008-R28	1	part_1_true_exam	ocr_consensus_unreviewed
artistic	SYL-VOCAB-P008-R29	1	part_1_true_exam	ocr_consensus_unreviewed
arttm	SYL-VOCAB-P008-R24	1	part_1_true_exam	pending_review_only
as	SYL-VOCAB-P008-R30	1	part_1_true_exam	ocr_consensus_unreviewed
ascend	SYL-VOCAB-P071-R22	1	part_2_zero_frequency	ocr_consensus_unreviewed
ascertain	SYL-VOCAB-P071-R23	1	part_2_zero_frequency	ocr_consensus_unreviewed
ash	SYL-VOCAB-P071-R24	1	part_2_zero_frequency	ocr_consensus_unreviewed
ashamed	SYL-VOCAB-P071-R25	1	part_2_zero_frequency	ocr_consensus_unreviewed
ashore	SYL-VOCAB-P008-R31	1	part_1_true_exam	ocr_consensus_unreviewed
aside	SYL-VOCAB-P008-R32	1	part_1_true_exam	ocr_consensus_unreviewed
ask	SYL-VOCAB-P009-L01	1	part_1_true_exam	ocr_consensus_unreviewed
asleep	SYL-VOCAB-P009-L02	1	part_1_true_exam	ocr_consensus_unreviewed
aspect	SYL-VOCAB-P009-L03	1	part_1_true_exam	ocr_consensus_unreviewed
aspire	SYL-VOCAB-P009-L04	1	part_1_true_exam	ocr_consensus_unreviewed
